militia मिलिशिया
motorsport मोटरस्पोर्ट
killer कातिलाना
disparities असमानताओं
naughty नटखट
psychopath मनोरोगी
divinity देवत्व
centered केन्द्रित
monster दानव
hill पहाड़ी
tortoises कछुओं
tumultuous उत्तेजित
tepid शिथिल
supersonic सुपरसोनिक
musical संगीतमय
daisy डेज़ी
drown डुबो
bike बाईक
float फ्लैश
odd विषम
functional कार्यात्मक
chicks चूजों
ish इश
traveler मुसाफ़िर
addresses पता
reliability विश्वसनीयता
tough मुश्किल
symbolic प्रतीकात्मक
mustard सरसों
policies नीतियों
quasi अर्ध
expected अपेक्षित
analysts विश्लेषकों
skill निपुणता
limits सीमाएँ
deals सौदे
eater भक्षक
planned नियोजित
hobby हॉबी
joke मजाक
elections चुनावों
rho रो
calligraphy सुलेखन
applicant आवेदक
latitude शर
lecturers व्याख्याताओं
edward एडवर्ड
old वृद्ध
mainstream मुख्यधारा
militant उग्रवादी
weight भार
chairmanship अध्यक्षता
veganism शाकाहार
pebbles कंकर
eligible योग्य
meningitis मैनिंजाइटिस
sedan सेडान
picked उठाई
raised अर्जित
leaders नेताओं
fox फॉक्स
resourceful क्षमतावान
addicting लत
flashy नक़ली
automation स्वचालन
office दफ्तर
settings सेटिंग्स
immunofluorescence इम्यूनोफ्लोरेसेंस
support सहायता
balance बैलेंस
postal डाक
bravery बहादुरी
invincible अजेय
retailer रिटेलर
misc विविध
labs लैब्स
competition प्रतिस्पर्धा
lines पंक्तियाँ
primary प्राथमिक
mirror प्रतिबिंब
homogeneous समरूप
silicon सिलिकॉन
terra टेरा
partition पार्टीशन
targeting लक्ष्यीकरण
helplessness मजबूरी
refugees शरणार्थियों
older वृद्ध
characteristics विशेषताएँ
termites दीमकों
looting लूटने
drunk शराबी
guys दोस्तों
its इसके
eyeballs आंखों
icecream आइसक्रीम
sunshine धूप
ringing बज
sponsors प्रायोजक
imitating घुंघरू
brigadier ब्रिगेडियर
mart मार्ट
king राजा
event घटना
rein लगाम
transit पारगमन
shark शार्क
typing टंकण
bill विधेयक
areas एटलस
aka aka
bricks ईंटें
blind ब्लाइंड
refinance पुनर्वित्त
hits हिट्स
launching शुभारंभ
states राज्यों
micro माइक्रो
see देखें
orphanage अनाथालय
supplier प्रदायक
buttermilk छाछ
dolphin डॉल्फ़िन
channels चैनलों
own खुद
attached संलग्न
oxides आक्साइड
batteries बैटरी
sown बोया
alcohol शराब
wetland आर्द्रभूमि
plant पौधे
happy प्रसन्न
resistance प्रतिरोध
sprayed छिड़काव
fund फंड
relationship रिश्ते
allen ऐलन
condom कंडोम
rip रिप
tak तक
pro प्रो
shooting गोलीबारी
pakistani पाकिस्तानी
goose हंस
landscape परिदृश्य
murphy मर्फी
elaborate सविस्तार
purifier शोधक
royal रॉयल
bobby बॉबी
offices कार्यालयों
pass पास
pestle मूसल
silk रेशों
wall दीवार
hangout मुलाक़ात
changed परिवर्तित
lion शेर
explored छान
havoc कहर
viscosity श्यानता
bacon बेकन
debut डेब्यू
bluetooth ब्लूटूथ
rotten सड़े
expo एक्सपो
walnut अखरोट
aviation विमान
solution हल
miner खनिक
remand रिमांड
dubbing डबिंग
damage क्षति
project प्रोजेक्ट
villains खलनायक
simulator सिम्युलेटर
priority प्राथमिकता
rich रिच
economical किफायती
failure असफल
doctor doctor
table सारणी
attendant सेवक
cutter कटर
dangle लटकते
telly टेली
advertisers विज्ञापनदाताओं
pores छिद्र
ideal आदर्श
vehicles वाहनों
stupid बेवकूफ
written लिखी
infectious संक्रामक
anarchism अराजकतावाद
trust विश्वास
applause ताली
supernatural अलौकिक
but लकिन
puja पूजा
muscle मांसपेशी
opium अफीम
will करेगी
shrewd चालाक
injurious हानिकर
intern इंटर्न
ins आईएनएस
poster पोस्टर
antagonism बैर
did किया
you आप
taught सिखाया
episodes एपिसोड
fax फैक्स
sheath म्यान
pig सुअर
reagent अभिकर्मक
railroad रेलरोड
impenetrable अगम्य
gravity गम्भीरता
rift दरार
dependents आश्रितों
our हमारी
yes यस
personalization निजीकरण
pearl पर्ल
chapter अध्याय
secular सेक्युलर
dynasty राजवंश
introduction परिचय
behold निहारने
unlikely असंभावित
racing रेसिंग
produced उत्पादित
moves moves
nerve तंत्रिका
february फरवरी
umbrella छतरियाँ
transport परिवहन
semifinal सेमीफाइनल
railway रेल
heels हील्स
num num
bait चारा
beset घिरा
bromine ब्रोमीन
noun संज्ञा
leaders नेताओ
expeditious तीव्र
deceived धोखे
willy विली
sure पक्का
tell बताओ
client क्लाइंट
formulae formulae
endless अंतहीन
bending झुकाव
peak पीक
vehemently तीव्र
trainer प्रशिक्षक
quack अनाड़ी
rip चीर
grandfather दादा
parting बिछड़
patiently धैर्यपूर्वक
fog कोहरा
davis डेविस
writer रचनाकार
resources संसाधन
trial विचारण
unemployment बेकारी
stellar तारकीय
afraid भयभीत
cheated धोखा
rejoice मग्न
instalment किस्तों
valor वीरता
immersion विसर्जन
sacrificed कुर्बान
resort रिज़ॉर्ट
revelations खुलासे
reasoning तर्क
written लिखा
camel ऊंट
believe विश्वास
germany जर्मनी
brazilian ब्राज़ीलियाई
unrest अशांति
fairies हूर
complexes देवालय
understand समझे
catholic कैथोलिक
prairie प्रेयरी
minute मिनट
sin गुनाह
knife चाकू
kingfisher किंगफिशर
leafy पत्तेदार
ontario ओंटारियो
conservatism कोसा
aquatic जलीय
phishing फ़िशिंग
coastal तटीय
dome गुम्बद
auto स्वतः
cows गायें
developers डेवलपर्स
moribund मृतप्राय
embarrassing शर्मनाक
feather बट्टे
sushi सुशी
lovely प्यारे
coke कोक
dependent आश्रित
torn फटा
dot डॉट
telugu तेलुगु
arrogant घमंडी
personal पर्सनल
cooker कूकर
fragrances सुगंध
cooked पकाया
add जोड़ें
fans प्रशंसक
penalty पेनल्टी
remix रीमिक्स
method विधि
tribunals अधिकरणों
actions कार्रवाइयों
inauguration उद्घाटन
green ग्रीन
orientation दिशा
cool मस्त
prejudices पूर्वाग्रहों
jeff जेफ़
transaction लेनदेन
iran इरान
suicide आत्महत्या
cheers चीयर्स
month महीने
round गोल
algebra बीजगणित
journalism पत्रकारिता
opportunities अवसर
trees पेड़
risking उद्देश
graphite ग्रेफाइट
couches तख्तों
bhai भाई
harmless हानिरहित
file संचिका
hemoglobin हीमोग्लोबिन
fact तथ्य
wade वेड
messenger मेसेंजर
super सूपर
banging पीटना
keeper कीपर
rubber बुलबुले
runs दौड़
repudiate परित्याग
stunned दंग
finals फाइनल
settings विन्यास
manners शिष्टाचार
rock चट्टान
mutual पारस्परिक
skip छोड़ें
fragrant सुगंधित
career करियर
noise शोरगुल
expertise विशेषज्ञता
sexes लिंगों
send send
earrings झुमके
demand मांग
free फ्री
spread प्रसार
draft ड्राफ़्ट
youtube यूट्यूब
student student
horrible भयंकर
church चर्च
changer परिवर्तक
translated अनूदित
trek ट्रेक
puzzles पहेलियाँ
chanting जाप
but परन्तु
responsibility ज़िम्मेदारी
kumar kumar
gif gif
apartheid रंगभेद
antioxidant एंटीऑक्सीडेंट
chromium क्रोमियम
exclamation मुँह
specialities विशेषज्ञ
nowadays आजकल
recipe रेसिपी
military सैन्य
poles डंडे
encouraging उत्साहजनक
facilities सुविधाएं
national राष्ट्रीय
donuts डोनट्स
recommend अनुशंसा
comparison तुलना
electrical इलेक्ट्रिकल
net जाल
allergy एलर्जी
idols मूर्तियों
placement अवस्थिति
messages संदेश
eternal अनन्त
voracious लालची
dot बिंदु
rhymes कवितायेँ
motors मोटर्स
viral वायरल
assessment मूल्यांकन
feedback प्रतिक्रिया
bay खाड़ी
mills मिलों
index सूचकांक
arch मेहराब
funny मजेदार
chennai चेन्नै
uterus गर्भाशय
rioters दंगाइयों
dining डाइनिंग
smart smart
consent सहमति
subliminal अचेतन
nail नेल
humbly विनम्रतापूर्वक
silly पगली
investigator अन्वेषक
photo photo
treasurer कोषाध्यक्ष
poor बेचारे
bookmarks बुकमार्क
found मिले
legal लीगल
depression अवसाद
legislators विधायकों
infant शिशु
hanging फांसी
parliament संसद
vein रग
published प्रकाशित
boating बोटिंग
novice नौसिखिया
quality विशेषता
strategically रणनीतिक
tex टेक्स
globe ग्लोब
instability अस्थिरता
former पूर्व
english english
kidney गुर्दा
vowels स्वर
fascist फासिस्ट
stings डंक
benchmarks बेंचमार्क
hitchhiker सहयात्री
brochure ब्रोशर
stores स्टोर्स
stake हिस्सेदारी
synchronous समकालिक
flame लौ
handwriting लिखावट
hint संकेत
rapping रैप
tomb मकबरा
quagmire पंक
glass कांच
shelves अलमारियों
youth जवानी
grooming संवारने
brave वीर
midterm मध्यावधि
nanotube नैनोट्यूब
indelible अमिट
dental दंत
shirts कमीज
psychotherapy मनोचिकित्सा
ion आयन
filthy नापाक
charisma आकर्षण
elaborate विस्तृत
virtuous नेक
structure ढांचा
documentation दस्तावेज़ीकरण
end समाप्ति
sincere ईमानदार
horn हॉर्न
joseph जोसफ
abuse दुरूपयोग
calls कॉल
economist अर्थशास्त्री
pod फली
ndash ndash
crisis संकट
beacon बीकन
until जबतक
accent लहजे
gift उपहार
idiots मूर्ख
insult अपमान
smells खुश्बू
fleshy मांसल
narrow सीमित
infinite असीमित
pine चीड़
criticisms आलोचनाओं
pigs सूअर
frame ढांचा
cards ताश
moths पतंगों
evening शाम
premiership प्रीमियरशिप
plague प्लेग
authorized प्राधिकृत
victorian विक्टोरियन
statistics आंकडे
brazil ब्राज़ील
protocols प्रोटोकॉल
blood खून
matrix मेट्रिक्स
info सूचना
modernized आधुनिकीकरण
matching मैचिंग
unlucky अशुभ
glen ग्लेन
weaver बया
large विशाल
holiday छुट्टी
dry सूखा
placebo placebo
symmetrical सममित
smelly बदबूदार
litres लिटर
joke मज़ाक
presented प्रस्तुत
topic टॉपिक
defendant प्रतिवादी
evidently स्पष्टतया
synonyms समानार्थी
crashes क्रैश
drawbacks कमियां
biodiesel बायोडीजल
sewage मलजल
briefing drug
merciful रहमान
crop फ़सल
gathering महफ़िल
misleading गुमराह
parts पार्ट्स
field फील्ड
choosing चुनना
liquefaction द्रवण
rabid कट्टर
choose चुनें
competitors प्रतिस्पर्धी
depend निर्भर
morning सुबह
burst बर्स्ट
serum सीरम
desolate सूना
escalation बढ़त
accidents दुर्घटनाओं
member सदस्य
henna हिना
visual दृष्टि
summer ग्रीष्म
tolerate सहे
expression अभिव्यक्ति
treatment इलाज
high ऊँची
formats स्वरुप
dancer नर्तक
apple ठहराना
cover कवर
weeks सप्ताह
economic आर्थिक
elizabeth एलिज़ाबेथ
pawns प्यादे
grandfather दादाजी
wages मजदूरी
piss पेशाब
sewing सिलाई
entitled हकदार
obligatory अनिवार्य
dialogues संवाद
holiness पवित्रता
clip क्लिप
revival पुनरुद्धार
indies इंडीज
retail खुदरा
hobby शौक
bout डटकर
pastry पेस्ट्री
digest डाइजेस्ट
map मैप
feeling अनुभूति
tutor ट्यूटर
procession जुलूस
guarded पहरे
trucks ट्रक
modernisation आधुनिकीकरण
dollar डालर
installed स्थापित
global वैश्विक
tuner ट्यूनर
fattening मेद
pork पोर्क
guided निर्देशित
microphone माइक्रोफोन
forgiveness माफी
federalism संघवाद
hindu हिंदू
banner बैनर
ledger लेजर
shouting चिल्लाना
housing आवास
central सेंट्रल
customise मनपसंद
designation नामांकन
hotels होटल
euphoria यूफोरिया
patience धैर्य
word वर्ड
uncle मामा
property संपत्ति
surgical सर्जिकल
techno टेक्नो
von वॉन
disputes विवादों
dom डोम
breasts स्तन
confidence विश्वास
vegetation वनस्पति
dress परिधान
bowls प्याले
chivalry शिष्टता
blockers ब्लॉकर्स
detectors डिटेक्टरों
drawer दराज
minor नाबालिग
inferiority हीनता
trunk ट्रंक
polynomial बहुपद
medina मदीना
nelson नेल्सन
concentrations एकाग्रता
configure कॉन्फ़िगर
yamaha यामाहा
lock ताला
bitch कुतिया
high उच्च
complains शिकायते
prosecutor अभियोजक
angry एंग्री
unprofessional अव्यवसायिक
furnace भट्ठी
extinguished बुझे
tcp टीसीपी
magicians जादूगर
report रपट
confusion भ्रम
beaten पिटे
destinations गंतव्य
bossy गौ
mayor मेयर
scores स्कोर
weasel रास
deep दीप
improvement सुधार
renovated संवर
thoughtful विचारशील
comfort सुकून
livestock पशुधन
hustle ऊधम
wheels पहिये
rooms कक्ष
christmas क्रिसमस
submissions सबमिशन
grey ग्रे
surname बेनाम
pos pos
bei bei
labels लेबल
recharge रिचार्ज
meaningful सार्थक
zoom ज़ूम
amateur शौकिया
interval अंतराल
reef रीफ
siege घेराबंदी
victim पीड़ित
fender फेंडर
concept अवधारणा
director निदेशक
buying क्रय
gospel इंजील
joyful हर्षित
warring युद्धरत
leo सिंह
polygon बहुभुज
label लेबल
seal मुहर
petticoat पेटीकोट
wading बातिल
bmw बीएमडब्ल्यू
concocted कुचक्र
adjustable समायोज्य
signal signal
daemon डेमन
restraint संयम
advertisement विज्ञापन
merchants व्यापारियों
tamarind इमली
vine बेल
admins प्रशासक
aol एओएल
earrings बालियां
patterns पैटर्न
receptionist रिसेप्शनिस्ट
hearing सुनवाई
duplicate अनुकृति
antagonism संघर्ष
ripple तरंग
demo डेमो
indecisive अनिर्णय
radiologists रेडियोलॉजिस्ट
goo गू
full पूर्ण
uninteresting अरुचिकर
plaques प्लाक
proposal प्रस्ताव
break ब्रेक
beck बेक
complementary पूरक
mourning शोक
expressive अर्थपूर्ण
garden बगीचे
expectation अपेक्षा
slay मार
camping कैम्पिंग
poly पॉली
horoscope राशिफल
superstars सुपरस्टार
entrepreneurship उद्यम
silk रेशम
totalitarianism सर्वसत्तावाद
archive अभिलेख
paired युग्म
halloween हैलोवीन
foreign विदेशी
caramel कारमेल
indestructible अविनाशी
genres शैलियाँ
fallout नतीजा
knockout नॉकआउट
pine पाइन
laptops लैपटॉप
departments विभाग
without बगैर
passenger यात्री
real यथार्थ
australia ऑस्ट्रेलिया
write लिखे
curse अभिशाप
ultra अल्ट्रा
viability जाना
research अनुसंधान
loans लोन
pistachio पिस्ता
gradually धीरे
nights रातें
goons गुंडे
dearth अभाव
fill भरें
late लेट
detectives जासूस
artificial कृत्रिम
wiper वाइपर
securities प्रतिभूति
jacob जैकब
swelling सूजन
splice जोडना
money धन
roots जड़ें
used प्रयुक्त
rotation परिक्रमण
dragging खींचना
pyjamas पाजामा
seriousness गंभीरता
come आइये
cravings इच्छा
leave छोड़ें
grinding पीस
complex जटिल
strife संघर्ष
bark छाल
make बना
macabre भयंकर
gymnastics जिमनास्टिक्स
sittings बैठकों
metal मेटल
lakh लख
mono मोनो
streams स्ट्रीम
fear डर
pour डालना
jurisdiction अधिकारिता
ration राशन
somatic शारीरिक
beef बीफ
muted मौन
cowboy चरवाहे
webcast वेबकास्ट
outlaw गैरकानूनी
bible बाइबल
insulted अपमानित
lever लीवर
nouveau देवानंद
trend ट्रेंड
vapor वाष्प
ground जमीन
moist नम
eighteen अट्ठारह
front सामने
violations उल्लंघनों
grape अंगूर
gunner गनर
pinch चुटकी
referenced संदर्भित
arbitrators मध्यस्थों
province प्रान्त
unsatisfactory असंतोषजनक
honour इज्ज़त
freezer फ्रीजर
echo प्रतिध्वनि
mins मिनट
wikitext wikitext
abutment खंभा
laurel लॉरेल
fringe फ्रिंज
assurance परख
drama नौटंकी
transmission संचरण
emails ईमेल
root जड़
activations सक्रियण
eggs अंडे
spirituality अध्यात्म
style शैली
sidebar साइडबार
archipelago द्वीपसमूह
soften भेजें
fraud धोखाधड़ी
reach पहुँचें
bid बोली
inhibit रोकें
city सिटी
pressing दबाने
state स्टेट
marsh दलदल
moderate मॉडरेट
formation गठन
adjacent सटा
url url
rhino गैंडे
mostly अधिकतर
penchant अभिरुचि
speckled धब्बेदार
veer वीर
absent अनुपस्थित
insignia तमगा
businesses व्यवसाय
recurring पुनरावर्ती
carbohydrates कार्बोहाइड्रेट
intelligence प्रज्ञा
radiator रेडिएटर
meme मीम
interface इंटरफेस
sheep भेड़
antivirus एंटीवायरस
anu अनु
obscure अस्पष्ट
simply बस
chat गपशप
responsible जिम्मेदार
horizon क्षितिज
sounds ध्वनियाँ
notice नोटिस
temp अस्थायी
diseases रोगों
nom नोम
rebels विद्रोहियों
fool मूर्ख
slightly थोड़ा
shell शेल
beginner आरंभिक
agnostic अज्ञेयवादी
version वर्जन
arson आगजनी
boyfriend बॉयफ्रेंड
runner धावक
blending सम्मिश्रण
sunshine सनशाइन
harvest खेती
bang धमाके
culture संस्कृति
fraction हिस्से
uranium यूरेनियम
swallow निगल
secrete गोपनीयता
associate सहयोगी
lectures लेक्चर
neighbour पड़ोसी
quotes उद्धरण
skiing स्कीइंग
pillars खंभे
testosterone टेस्टोस्टेरोन
evil बुरा
blacksmith लोहार
wings विंग्स
own स्वयं
capabilities क्षमताओं
bottlenecks अड़चनों
medal पदक
stampede खलबली
denied झुठलाया
coward कायर
gossip गपशप
stubbornness ज़िद
insight इनसाइट
effectiveness प्रभावकारिता
fir fir
belts बेल्ट
celebration जश्न
sketch स्केच
volunteer स्वयंसेवक
elbow कोहनी
attendance उपस्थिति
installments किश्तों
submitted सुपुर्द
junction जंक्शन
mock परिहास
suspend बर्खास्तगी
goddesses देवियाँ
holy पवित्र
josh जोश
europe यूरोप
fleece ऊन
users प्रयोगकर्ता
woman औरत
lick लिक
styles शैलियाँ
events घटनाएँ
doubt शक
last पिछला
external बाहरी
aircraft वायुयान
ears कानों
dishonest बेईमान
seminar सेमिनार
vertically खड़ा
updates अद्यतन
journal पत्रिका
slam स्लैम
attach संलग्न
files संचिका
spouse जीवनसाथी
necklace हार
circumstances हालातों
wrath प्रकोप
labour श्रमिक
entry एंट्री
virtual आभासी
credits क्रेडिट
mexican मैक्सिकन
train ट्रैन
generator जेनरेटर
burn बर्न
czech चेक
offer प्रस्ताव
glycemic ग्लाइसेमिक
unwanted अनावश्यक
ajax अजाक्स
american अमेरिकन
functioning कामकाज
sports खेल
jeremy जेरेमी
beneficial फायदेमंद
evasion बचना
poison ज़हर
maybe शायद
steroid स्टेरॉयड
rates दरें
championship चैंपियनशिप
fortunately सौभाग्य
conifer कोणधारी
computer कम्प्यूटर
moto मोटो
antagonist बैरी
emblems प्रतीक
automotive ऑटोमोटिव
wagon वैगन
animal पशु
calculator परिपथ
emotion जज्बात
identify पहचानें
meaningless बेमतलब
needy जरूरतमंद
resolution रिज़ॉल्यूशन
opponents विरोधियों
pasted चिपकाया
cottages कॉटेज
attention ध्यान
puma प्यूमा
threshold पठार
treasures ख़ज़ाने
stairs सीढ़ियाँ
logarithm लघुगणक
howard हावर्ड
space जगह
function प्रकार्य
observatory वेधशाला
bloom खिलते
market मार्केट
fishermen मछुआरों
paint पेंट
scenario कथानक
embarrassment शर्मिंदगी
statue प्रतिमा
parody व्यंग्य
pesticide कीटनाशक
movie मूवी
goons गुंडों
latest नवीनतम
sucking चूसने
antagonist विपक्षी
brothers भाईयो
asked पुछा
moderately मध्यम
reminder स्मरण
swimmer तैराक
hole होल
meditation meditation
pink गुलाबी
appearance रूप
listing प्रविष्टि
index इंडेक्स
thief चोर
gardening बागवानी
signature हस्ताक्षर
caves गुफाएं
bottoms बॉटम
satellite उपग्रह
advantage लाभ
california कैलिफोर्निया
musical musical
whose किसका
makeup मेकअप
fruitful फलदायक
refuse इंकार
tentative अंतरिम
ease आसानी
dylan डिलन
recommendations सुझाव
spider मकड़ी
your आपके
staff स्टाफ
authenticated सत्यापित
torrential मूसलाधार
residue अवशेष
like like
scam घोटाला
only तभी
thursday गुरुवार
penicillin पेनिसिलीन
blackjack लाठी
profile प्रोफ़ाइल
unconstitutional असंवैधानिक
painful दर्दनाक
component अवयव
morning morning
consultant परामर्शदाता
follows फ़ॉलो
piece piece
naval नवल
guests गेस्ट
bangles चूड़ियाँ
soviet सोवियत
hatred द्वेष
principal प्रिंसिपल
inauguration उदघाटन
nimble दक्ष
skating स्केटिंग
mobility गतिशीलता
wrench पाना
ipad आईपैड
termite दीमक
translator अनुवादक
prizes इनाम
construction निर्माण
totals योग
candle मोमबत्ती
fault दोष
atom अणु
saviour रक्षक
repeated दोहराया
pioneer अग्रगामी
bison बाइसन
murder कत्ल
commission कमीशन
begging माँगना
unholy अपवित्र
drain नाली
teasing छेड़छाड़
craftsmen कारीगरों
school school
fatty वसीय
theater थिएटर
accessed पहुँचा
rows पंक्तियां
moonshine चांदनी
train रेलगाड़ी
scalar अदिश
toothpaste टूथपेस्ट
tritium ट्राइटियम
handling हैंडलिंग
eye आंख
hibiscus गुड़हल
gems रत्नों
dance डांस
telegram टेलीग्राम
approve स्वीकृति
governance शासन
renaissance पुनर्जागरण
commercialization व्यावसायीकरण
ministers मंत्री
clade क्लेड
registers रजिस्टर
different भिन्न
vacancy रिक्ति
lewis लेविस
prevailing प्रचलित
sector सेक्टर
archaeologist पुरातत्ववेत्ताओं
drugs ड्रग्स
motherland मातृभूमि
shooters निशानेबाज
moves चालें
reviewer समीक्षक
van वैन
lethargic सुस्त
drawing रेखाचित्र
nursing नर्सिंग
images छवियां
homie होमी
recession मंदी
personal निजी
exhibit प्रदर्शनी
nationalist राष्ट्रवादी
categories श्रेणी
brothel वेश्यालय
surprising आश्चर्यजनक
violence हिंसा
bed पलंग
cantilever बाहु
sister सिस्टर
nun नन
generator सृजनकर्ता
pfizer फाइजर
mai माई
imp imp
scissors कैंची
discover discover
transmit संचारण
buildings भवनों
reached पहुँचे
mixer मिक्सर
caesar सीज़र
flowing बहती
breach उल्लंघन
cold ठंड
guilty गुनाहगार
oracle ओरेकल
animations एनीमेशन
tectonics विवर्तनिकी
cannabis कैनबिस
movement गति
rectangular आयताकार
admin एडमिन
victim शिकार
captain कैप्टन
mango आम
oranges संतरे
goal ध्येय
loathsome घिनौना
girlfriends गर्लफ्रेंड
conquer जीतें
coefficient गुणांक
gaming गेमिंग
uma उमा
perl मोती
mon सोम
famines अकाल
sellers विक्रेता
succession उत्तराधिकार
film फिल्म
miners खनिक
romantic रोमांटिक
meg मेग
calves बछड़ों
horny कामुक
appendix परिशिष्ट
marriages विवाह
contributors योगदानकर्ता
utilities उपयोगिताएँ
nike नाइक
novelist उपन्यासकार
kickboxing किकबॉक्सिंग
skinned चमड़ी
retro रेट्रो
farming खेती
receipt रसीद
bowl कटोरा
circle वृत्त
countless अनगिनत
dashboard डैशबोर्ड
dancers डांसर
trusted विश्वसनीय
healthy स्वास्थ्यवर्धक
electors निर्वाचक
stakeholder शेयरधारक
skates स्केट्स
italic तिरछा
tense काल
naked नंगे
kangaroo कंगारू
exhibits दर्शाती
approval अनुमोदन
adidas एडिडास
playboy प्लेबॉय
pot पॉट
bias पूर्वाग्रह
fielders क्षेत्ररक्षकों
refute खण्डन
lights लाइट्स
drawers दराज़
caves गुफाएँ
incoming आवक
respite मोहलत
hyphen योजक
domain डोमेन
releases रिलीज़
disposal निपटान
allowed अनुमत
revolves घूमती
seabed समुद्रतल
soles सोल्स
preferences वरीयताओं
marshy मैंग्रोव
gases गैसें
bulging उभरा
anniversary सालगिरह
ash राख
moore मूर
jacuzzi जैकूज़ी
cancer कैंसर
encoding एन्कोडिंग
explanation स्पष्टीकरण
cottage कॉटेज
twin जुड़वा
cute क्यूट
pickup पिकअप
renovation नवीकरण
tanning टैनिंग
introduction भूमिका
requested अनुरोधित
depression डिप्रेशन
kingdom किंगडम
mil mil
prep तैयारी
bathroom बाथरूम
spec विशिष्टता
encrypted गुप्त
silence खामोशी
poachers शिकारियों
shopkeeper दुकानदार
repentance तौबा
filth गंदगी
touch स्पर्श
separated जुदा
attracted आकर्षित
active सक्रिय
hole छेद
marshall मार्शल
helper सहायक
engine इंजन
state अवस्था
influenced बहकावे
soldier सिपाही
dozen दर्जन
userpage userpage
expanded विस्तारित
hospice धर्मशाला
soap साबुन
large बड़ा
beak चोंच
measures उपाय
pistol पिस्तौल
cheap सस्ता
contractor ठेकेदार
enterprise एंटरप्राइज़
administrative प्रशासनिक
church गिरिजाघर
years वर्ष
class कक्षा
throat गला
income इनकम
forces शक्तियां
desire ख्वाहिश
note नोट
behavior व्यवहार
available उपलब्धियाँ
whore वेश्या
booster बूस्टर
entrepreneur उद्यमियों
called बुलाया
messiah मसीहा
gateway गेटवे
goodbye अलविदा
georgia जॉर्जिया
hold पकड़ो
visibility दृश्यता
hydraulic हाइड्रोलिक
insist जिद
times बार
games गेम्स
chief मुख्य
neighbor पड़ोसी
per प्रति
cheater धोखेबाज
login लॉगिन
desperately शिद्दत
winds हवाओं
warrant वारंट
diffuse व्याप्त
guests मेहमान
mana माना
wifi वाईफ़ाई
localization स्थानीयकरण
impose थोपने
rare दुर्लभ
classmates सहपाठियों
manual हस्तचालित
lead लीड
legend लेजेंड
yell चिल्लाते
sweat पसीना
unreal काल्पनिक
pollination परागण
made बना
bad खराब
cases केस
buckets भरके
insane उन्मादी
shadow छाया
diagnosis निदान
rupee रूपया
dance नाच
somatic कायिक
converter परिवर्तक
willow विलो
gases गैसों
lollipops लॉलीपॉप
sugar शुगर
lonely निर्जन
allotment आवंटन
govt govt
early जल्दी
incest अनाचार
guides मार्गदर्शिका
injustice ख़ुदकुशी
nephew भतीजे
lurid फीका
objects वस्तु
constrained बाध्य
transmit संचारित
hunger भूख
submarine पनडुब्बी
purchase खरीद
empathy सहानुभूति
constitutional संवैधानिक
tutorials ट्यूटोरियल
badges बैज
oklahoma ओक्लाहोमा
cruiser क्रूजर
intercession सिफ़ारिश
halogen हैलोजन
microsoft माइक्रोसॉफ्ट
claire क्लेयर
visor छज्जा
learn जानें
connecticut कनेक्टिकट
swat स्वीकार्य
sweep स्वीप
attempts कोशिशें
polyester पॉलिएस्टर
sun रवि
cam कैम
monument स्मारक
chaff भूसे
distrust अविश्वास
rooms rooms
blower ब्लोअर
investments निवेश
careless लापरवाह
deed पुन्य
integration संयोजन
knock नॉक
camping कैंप
joint संयुक्त
roads सड़कें
promoters मालिकों
deal डील
humid नम
abs एबीएस
leek पिसी
half हाफ
measure अन्दाज़
your अपने
superstition अंधविश्वास
dope नशा
tome टोम
organizing आयोजन
sourcing सोर्सिंग
entertained सत्कार
albums एल्बम
cure इलाज
berry बेरी
hostess होस्टेस
look देखो
disgusting घृणास्पद
database डेटाबेस
prophet पैगम्बर
prophets नबियों
trending चर्चित
stringent कठोर
licenses पंक्तियां
donald डोनाल्ड
attack आक्रमण
peace सलाम
seasons मौसम
moments पल
derby डर्बी
skin चमड़ी
firefighters अग्निशमन
polymerization बहुलकीकरण
imaginary काल्पनिक
bugs बग्स
gay gay
protect रक्षा
shift शिफ्ट
sections खण्ड
smile smile
startups स्टार्टअप
motion गति
prank शरारत
coiled नतीजे
slippers चप्पल
oscar ऑस्कर
mumble दबे
peacock मोर
wildfire दावानल
java जावा
where जहां
pond तालाब
digestion पाचन
partying पार्टी
debate बहस
accomplice साथी
bamboo बांस
franc फ़्रैंक
pale पाले
conversion परिवर्तन
hearts दिलों
shortcomings कमियां
salinity लवणता
sage ऋषि
abode द्वारे
helm खे
relegate निष्कासन
emission उत्सर्जन
ubiquitous सर्वव्यापी
vehemently ओजस्वी
nine नौ
bottomless अथाह
familiar परिचित
recitation पठन
actors अभिनेता
adjournment स्थगन
book किताबे
challenge चुनौती
congratulations बधाई
vows मन्नत
particularly विशेषकर
projects परियोजनाएँ
met मिले
nibble कुतर
ahh आह
concepts अवधारणाओं
landless भूमिहीन
sections अनुभाग
epitome निचोड़
functionality कार्यक्षमता
secretariat सचिवालय
maya माया
metaphysical तात्विक
greenery हरियाली
awful भयंकर
shire शायर
mule खच्चर
jihad जिहादी
haemorrhage रक्तस्राव
variant रूपांतर
votes वोटों
exile निर्वासन
colony कॉलोनी
conveyor कन्वेयर
dead मर
business व्यवसाय
eucalyptus यूकेलिप्टस
volleyball वॉलीबॉल
virus विषाणु
pong पोंग
forward आगे
puddle डबरा
before पहले
